School,City,State,County,Metro Area,Latitude,Longitude,Applications,Admitted,Acceptance Rate,Enrolled at UM,Yield,Enrollment,Mean SAT,Mean ACT,# of APs,IB Offered?,Population,Median Income,% Qualify for Reduced or Free Lunch,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,%Other/Multirace,Type,Notes,Check
Lexington High School,Lexington,Massachusetts,Middlesex,Boston,42.4452203,-71.234126,99,15,0.15,4,0.27,2263,1345,,21,No,31394,172750,,0.49,0.04,0.04,0.38,0.00,0.00,0.05,Public,,1.00
Hunter College High School,New York,New York,New York,New York,40.7854696,-73.95377,99,25,0.25,1,0.04,441,1510,,19,No,8336817,60762,,,,,,,,,Public Magnet,,0.00
Horace Greeley High School,Chappaqua,New York,Westchester,New York,41.1745396,-73.757633,95,42,0.44,18,0.43,1247,1347,29,20,No,17801,228714,0.05,0.77,0.01,0.05,0.12,0.00,0.00,0.04,Public,,1.00
Staples High School,Westport,Connecticut,Fairfield,New York,41.1546672,-73.327696,95,23,0.24,11,0.48,1858,1234,28.6,25,No,27840,187988,0.04,0.84,0.02,0.06,0.06,0.00,0.00,0.02,Public,,1.00
Jones College Prep,Chicago,Illinois,Cook,Chicago,41.8740031,-87.628104,92,27,0.29,11,0.41,1908,1278,,24,No,2718555,75426,0.37,0.38,0.12,0.29,0.14,0.00,0.01,0.06,Public,,1.00
North Farmington High School,Farmington Hills,Michigan,Oakland,Detroit,42.5156387,-83.375793,91,37,0.41,23,0.62,1301,1054,,21,No,91103,76046.5,0.22,0.57,0.25,0.03,0.10,0.00,0.00,0.05,Public,Income and Population are for Farmington and Farmington Hills,1.00
Interlochen Arts Academy,Interlochen,Michigan,Grand Traverse,Traverse City,44.6292611,-85.767065,91,18,0.20,8,0.44,,1206,25.5,2,No,,,,,,,,,,,Private Secular,Population and Income are for Green Lake Twp,0.00
Cupertino High School,Cupertino,California,Santa Clara,San Jose,37.3193238,-122.00911,91,12,0.13,4,0.33,2305,1355,,19,No,59276,163954,0.09,0.13,0.01,0.09,0.72,0.00,0.00,0.06,Public,,1.00
Glenbrook South High School,Glenview,Illinois,Cook,Chicago,42.089019,-87.853626,90,25,0.28,12,0.48,3078,1152,26.1,28,No,80266,110402,0.18,,,,,,,,Public,Income and Population are for the towns of Glenview and Northbrook; Percentages are for Glenview,0.00
Athens High School,Troy,Michigan,Oakland,Detroit,42.5819924,-83.111494,89,31,0.35,19,0.61,1529,1126,,29,No,84092,97048,0.17,0.67,0.05,0.04,0.20,0.00,0.00,0.03,Public,,1.00
Saint Ignatius College Prep,Chicago,Illinois,Cook,Chicago,41.864501,-87.831925,89,23,0.26,6,0.26,1454,1303,29,27,No,,,,0.67,0.08,0.14,0.04,0.00,0.00,0.07,Private Religious,Income for ZIP Code 60608,1.00
Plymouth High School,Canton,Michigan,Oakland,Detroit,42.3466314,-83.499008,88,28,0.32,23,0.82,2041,1141,,21,Yes,9154,79713,0.17,0.70,0.08,0.05,0.14,0.01,0.00,0.03,Public,,1.00
Washtenaw International Hs,Ypsilanti,Michigan,Washtenaw,Ann Arbor,42.2474599,-83.637083,88,35,0.40,21,0.60,544,1180,,0,Yes,20171,36982,0.13,0.36,0.17,0.05,0.33,0.00,0.00,0.09,Public,,1.00
Grosse Pointe North High Schl,Grosse Pointe Woods,Michigan,Wayne,Detroit,42.436832,-82.889173,86,21,0.24,17,0.81,1316,1088,24.2,24,No,15332,97711,0.27,0.62,0.28,0.03,0.03,0.00,0.00,0.03,Public,,1.00
Northside College Prep Hs,Chicago,Illinois,Cook,Chicago,41.9813082,-87.707742,86,42,0.49,11,0.26,1090,1370,30,26,No,2718555,56597,0.44,0.27,0.08,0.30,0.20,0.00,0.01,0.14,Public Magnet,Income for ZIP Code 60625,1.00
Forest Hills Central Hs,Grand Rapids,Michigan,Kent,Grand Rapids,42.9420173,-85.521118,85,31,0.36,24,0.77,1224,1133.4,,19,No,25867,117173,0.11,0.84,0.02,0.03,0.07,0.00,0.00,0.04,Public,"Population and Income are for Forest Hills, MI",1.00
Barrington Community High Schl,Barrington,Illinois,Lake,Chicago,42.154304,-88.147247,85,12,0.14,6,0.50,2921,1190,27.1,36,No,10217,115833,0.18,0.64,0.01,0.17,0.13,0.00,0.00,0.04,Public,,1.00
Notre Dame Preparatory,Pontiac,Michigan,Oakland,Detroit,42.6732124,-83.259695,84,41,0.49,33,0.80,1061,1181,25.1,13,No,,,,0.80,0.05,0.06,0.06,0.00,0.00,0.02,Private Religious,Percentages are K-12,1.00
Syosset High School,Syosset,New York,Nassau,New York,40.8291858,-73.483565,84,20,0.24,11,0.55,2131,1310,,31,No,18829,159375,0.08,0.60,0.01,0.04,0.35,0.00,0.00,0.01,Public,,1.00
Mission San Jose High School,Fremont,California,Alameda,San Francisco,37.5446746,-121.93565,84,10,0.12,3,0.30,2046,1450,33,19,No,241110,127374,0.07,0.05,0.00,0.02,0.92,0.00,0.00,0.01,Public,,1.00
North Allegheny Senior Hs,Wexford,Pennsylvania,Allegheny,Pittsburgh,40.6105198,-80.053574,84,12,0.14,0,0.00,2724,1236,26.2,25,No,66417,120540,0.05,0.81,0.02,0.01,0.15,0.00,0.00,0.01,Public,"Population and Income are for Marshall Twp, Pine Twp, McCandless Twp, and Franklin Park",1.00
East Grand Rapids High School,East Grand Rapids,Michigan,Kent,Grand Rapids,42.9482153,-85.612916,83,36,0.43,25,0.69,976,1158,,15,Yes,25867,117173,0.07,0.87,0.03,0.05,0.02,0.00,0.00,0.03,Public,,1.00
Rochester High School,Rochester Hills,Michigan,Oakland,Detroit,42.6788574,-83.155579,83,34,0.41,21,0.62,1717,1160,25.9,22,No,74516,90961,0.17,0.66,0.06,0.07,0.17,0.00,0.00,0.04,Public,,1.00
Lynbrook High School,San Jose,California,Santa Clara,San Jose,37.3004041,-122.00407,83,13,0.16,2,0.15,1880,1435,31.7,17,No,1021795,104234,0.05,0.07,0.00,0.04,0.84,0.00,0.00,0.05,Public,,1.00
Carmel High School,Carmel,Indiana,Hamilton,Indianapolis,39.9804198,-86.119607,82,14,0.17,3,0.21,5286,1233,26.6,34,Yes,101068,116867,0.09,0.73,0.04,0.04,0.13,0.00,0.00,0.06,Public,,1.00
Detroit Catholic Central Hs,Novi,Michigan,Oakland,Detroit,42.4902695,-83.541884,81,26,0.32,23,0.88,998,1253,26,14,No,,,,,,,,,,,Private Religious,,0.00
Walter Payton Coll Prep School,Chicago,Illinois,Cook,Chicago,41.9012458,-87.635552,81,36,0.44,14,0.39,1153,1349,29.7,29,No,2718555,72636,0.31,0.44,0.11,0.22,0.17,0.00,0.01,0.05,Public Magnet,Income for ZIP Code 60610,1.00
Glenbrook North High School,Northbrook,Illinois,Cook,Chicago,42.1112449,-87.832187,81,17,0.21,4,0.24,2023,1216,28,24,No,80266,116929.5,0.05,,,,,,,,Public,Income and Population are for the towns of Glenview and Northbrook; Percentages are for Northbrook,0.00
Naperville North High School,Naperville,Illinois,DuPage,Chicago,41.7829262,-88.157162,81,18,0.22,0,0.00,2675,1175,,30,No,148449,118187,0.15,0.60,0.05,0.11,0.19,0.00,0.00,0.04,Public,,1.00
Pine Crest School,Fort Lauderdale,Florida,Broward,Miami,26.204601,-80.124799,80,36,0.45,12,0.33,845,1415,31.4,32,No,,,,,,,,,,,Private Secular,Income for ZIP Code 33434,0.00
Millburn High School,Millburn,New Jersey,Essex,New York,40.7198036,-74.314335,80,9,0.11,3,0.33,1385,1322,29.1,33,No,20080,214449,0.02,0.60,0.02,0.06,0.27,0.00,0.00,0.05,Public,,1.00
Dwight D Eisenhower H S,Shelby Charter Twp,Michigan,Macomb,Detroit,42.696737,-83.048125,79,24,0.30,16,0.67,2034,1077,,26,No,80628,74379,0.15,0.92,0.02,0.02,0.03,0.00,0.00,0.01,Public,,1.00
Ridge High School,Basking Ridge,New Jersey,Somerset,New York,40.7006895,-74.547903,79,16,0.20,10,0.63,1864,1313,27,27,No,26747,125837,0.01,0.64,0.01,0.06,0.27,0.00,0.00,0.03,Public,,1.00
Homestead High School,Cupertino,California,Santa Clara,San Jose,37.3356176,-122.04826,78,14,0.18,5,0.36,2425,1324,28,18,No,59276,163954,0.14,0.30,0.01,0.16,0.45,0.00,0.00,0.09,Public,,1.00
Fiorello H Laguardia Hs Music,New York,New York,New York,New York,40.774185,-73.985972,78,10,0.13,4,0.40,2762,1258,,23,No,8336817,60762,0.28,0.45,0.10,0.18,0.19,0.00,0.00,0.07,Public Magnet,,1.00
West Windsor-Plainsboro South,West Windsor,New Jersey,Mercer,Trenton,40.3059767,-74.619858,78,5,0.06,3,0.60,1607,1339,30,23,No,50799,140966,0.05,0.25,0.05,0.04,0.65,0.00,0.00,0.01,Public,Population and Income are for West Windsor and Plainsboro,1.00
Saratoga High School,Saratoga,California,Santa Clara,San Jose,37.2656448,-122.02936,78,12,0.15,1,0.08,1371,1406,30.9,21,No,30153,176641,0.02,0.25,0.00,0.04,0.62,0.00,0.00,0.09,Public,,1.00
South Brunswick High School,South Brunswick,New Jersey,Middlesex,New York,40.374194,-74.563461,77,8,0.10,5,0.63,2939,1202,25.3,29,No,45685,117274,0.12,0.27,0.08,0.08,0.56,0.00,0.00,0.02,Public,Population and Income are for South Brunswick Twp,1.00
Harker School,San Jose,California,Santa Clara,San Jose,37.313748,-121.96904,77,23,0.30,2,0.09,2040,1492,33,29,No,,,,,,,,,,,Private Secular,,0.00
Metea Valley High School,Aurora,Illinois,DuPage,Chicago,41.7923388,-88.236331,77,4,0.05,1,0.25,2926,1163,26.8,24,No,197757,69730,0.20,0.41,0.13,0.14,0.28,0.00,0.00,0.04,Public,,1.00
Greenhills School,Ann Arbor,Michigan,Washtenaw,Ann Arbor,42.2854038,-83.678354,76,50,0.66,33,0.66,,1380,31,13,No,,,,,,,,,,,Private Secular,,0.00
Brighton High School,Brighton,Michigan,Livingston,Detroit,42.5264549,-83.796262,76,24,0.32,20,0.83,2079,1092,,17,No,18664,105741,0.11,0.93,0.01,0.02,0.01,0.00,0.00,0.01,Public,,1.00
Greenwich High School,Greenwich,Connecticut,Fairfield,New York,41.0401828,-73.613313,76,12,0.16,6,0.50,2744,1200,27.6,29,No,62840,142819,0.21,0.65,0.03,0.21,0.07,0.00,0.00,0.03,Public,,1.00
William Fremd High School,Palatine,Illinois,Cook,Chicago,42.093166,-88.063234,75,10,0.13,3,0.30,2577,,,29,,67482,76776,0.15,0.54,0.03,0.10,0.30,0.00,0.00,0.03,Public,,1.00
Grand Blanc Community School,Grand Blanc,Michigan,Genesee,Detroit,42.9080476,-83.627777,73,26,0.36,17,0.65,2772,1047,,19,No,44463,63109,0.27,0.70,0.15,0.05,0.04,0.00,0.00,0.06,Public,,1.00
Mira Costa High School,Manhattan Beach,California,Los Angeles,Los Angeles,33.874266,-118.38954,73,19,0.26,6,0.32,2552,1265,27.2,25,No,35183,150083,0.07,0.62,0.02,0.15,0.10,0.00,0.00,0.11,Public,ACT Scores are Mean,1.00
Los Altos High School,Los Altos,California,Santa Clara,San Jose,37.3868122,-122.1091,73,10,0.14,3,0.30,2227,1300,28.5,23,No,30089,215339,0.17,0.38,0.01,0.26,0.26,0.00,0.00,0.07,Public,,1.00
Wayzata High School,Plymouth,Minnesota,Hennepin,Minneapolis-St.Paul,45.0448735,-93.509402,72,14,0.19,6,0.43,3406,1373,26.2,28,No,79768,100280,0.10,0.69,0.06,0.04,0.17,0.00,0.00,0.04,Public,ACT Scores are Mean,1.00
Palisades Charter High School,Los Angeles,California,Los Angeles,Los Angeles,34.0467121,-118.53158,72,15,0.21,5,0.33,2964,1179,26.5,23,No,22986,159696,0.32,0.59,0.12,0.19,0.09,0.00,0.00,0.00,Public,,1.00
Lyons Township High School,La Grange,Illinois,Cook,Chicago,41.8113127,-87.880209,72,13,0.18,4,0.31,4052,1140,26.6,28,No,15322,121425,0.12,0.72,0.04,0.20,0.02,0.00,0.00,0.02,Public,,1.00
Deerfield High School,Deerfield,Illinois,Lake,Chicago,42.1863136,-87.852702,71,24,0.34,12,0.50,1635,1209,27,27,No,18646,144229,0.04,0.87,0.01,0.05,0.04,0.00,0.00,0.03,Public,,1.00
Community High School,Ann Arbor,Michigan,Washtenaw,Ann Arbor,42.2834099,-83.743664,70,36,0.51,22,0.61,530,1215,,0,No,119980,63956,0.12,0.75,0.05,0.07,0.03,0.00,0.00,0.10,Public,,1.00
Dexter High School,Dexter,Michigan,Washtenaw,Ann Arbor,42.321311,-83.894965,70,21,0.30,18,0.86,1202,1148,29,8,No,6554,105438,0.09,0.93,0.01,0.02,0.02,0.00,0.00,0.02,Public,,1.00
Utica Academy Intl Studies,Sterling Heights,Michigan,Macomb,Detroit,42.5684039,-83.008471,70,28,0.40,17,0.61,448,1275,,4,Yes,342137,76034.33,,,,,,,,,Public Magnet,"Population and Income are for Utica, Macomb Twp, Ray Twp, Washington Twp, Shelby Twp, and Sterling Hts",0.00
Ridgewood High School,Ridgewood,New Jersey,Bergen,New York,40.9776885,-74.106472,70,14,0.20,7,0.50,1767,1267,27,26,No,25056,168608,0.02,0.66,0.01,0.10,0.18,0.00,0.00,0.05,Public,,1.00
Highland Park High School,Highland Park,Illinois,Lake,Chicago,42.193586,-87.800907,70,17,0.24,7,0.41,1982,1178,26,20,No,29515,147962,0.14,0.69,0.02,0.23,0.02,0.00,0.00,0.03,Public,,1.00
Livingston High School,Livingston,New Jersey,Essex,New York,40.7839003,-74.320425,70,12,0.17,5,0.42,1907,1299,26.8,35,No,30303,163403,0.03,0.62,0.03,0.05,0.27,0.00,0.00,0.03,Public,,1.00
Torrey Pines High School,San Diego,California,San Diego,San Diego,32.9573985,-117.2249,70,12,0.17,5,0.42,2444,1296,28,30,No,144283,111054,0.10,0.60,0.01,0.13,0.22,0.00,0.00,0.03,Public,"Income and Population for ZIP Codes 92130, 92014, 92067, 92007, 92024, 92091, and 92075",1.00
Amador Valley High School,Pleasanton,California,Alameda,San Francisco,37.6680343,-121.87538,70,6,0.09,0,0.00,2713,1310,30,27,No,81777,148852,0.07,0.45,0.01,0.08,0.42,0.00,0.00,0.04,Public,,1.00
Roslyn High School,Roslyn Heights,New York,Nassau,New York,40.7926392,-73.639584,69,22,0.32,7,0.32,1043,1281,28.6,20,No,24703,131356.5,0.13,0.70,0.03,0.08,0.18,0.00,0.00,0.01,Public,,1.00
Jericho Senior High School,Jericho,New York,Nassau,New York,40.7987749,-73.542519,69,18,0.26,5,0.28,1114,1318,28.6,23,No,12014,153438,0.10,0.38,0.02,0.03,0.56,0.00,0.00,0.00,Public,,1.00
Thomas Sprigg Wootton Hs,Rockville,Maryland,Montgomery,"Washington, D.C.",39.0769953,-77.183158,68,13,0.19,5,0.38,2107,1297,27.8,30,No,68079,105376,0.05,0.44,0.07,0.07,0.36,0.00,0.00,0.05,Public,,1.00
Princeton High School,Princeton,New Jersey,Mercer,Trenton,40.3578709,-74.655433,68,9,0.13,3,0.33,1590,1320,31,24,No,31187,138194,0.09,0.55,0.05,0.11,0.24,0.00,0.00,0.05,Public,,1.00
John P Stevens High School,Edison,New Jersey,Middlesex,New York,40.5810025,-74.359182,68,7,0.10,3,0.43,2521,1296,,26,No,99758,98687,0.07,0.11,0.06,0.04,0.78,0.00,0.00,0.01,Public,,1.00
Horace Mann School,Bronx,New York,Bronx,New York,40.8932178,-73.89873,67,13,0.19,7,0.54,1697,1443,33,21,No,,,,0.67,0.06,0.04,0.23,0.00,0.00,0.00,Private Secular,Percentages are for PK-12,1.00
Bergen County Academies,Hackensack,New Jersey,Bergen,New York,40.9019631,-74.033422,66,16,0.24,5,0.31,1098,1492,33,15,Yes,932202,95837,0.05,0.38,0.02,0.08,0.51,0.00,0.01,0.00,Public Magnet,,1.00
Saint Francis High School,Mountain View,California,Santa Clara,San Jose,37.36885,-122.08483,66,9,0.14,4,0.44,1760,1340,30,22,No,,,,0.47,0.01,0.10,0.29,0.00,0.01,0.11,Private Religious,,1.00
Grand Haven High School,Grand Haven,Michigan,Ottawa,Grand Rapids,43.011491,-86.211731,65,22,0.34,15,0.68,1930,1190,27,16,No,11047,55636,0.22,0.90,0.01,0.05,0.02,0.00,0.00,0.02,Public,,1.00
Montgomery High School,Skillman,New Jersey,Somerset,New York,40.418082,-74.70584,65,13,0.20,5,0.38,1613,1321,28.6,21,No,23124,191798,0.04,0.45,0.03,0.05,0.46,0.00,0.00,0.01,Public,,1.00
Skyline High School,Sammamish,Washington,King,Seattle,47.6002065,-122.03161,64,22,0.34,4,0.18,2169,1290,27,0,Yes,65892,165318,0.04,0.51,0.01,0.07,0.35,0.00,0.00,0.05,Public,,1.00
Walled Lake Central Hs,Commerce Townshp,Michigan,Oakland,Detroit,42.568715,-83.472932,64,19,0.30,11,0.58,1590,1190,27,18,No,44065,95810,0.26,0.77,0.11,0.04,0.06,0.00,0.00,0.02,Public,,1.00
Menlo Atherton High School,Atherton,California,San Mateo,San Francisco,37.4622756,-122.17465,64,15,0.23,8,0.53,2498,1212,,22,No,7137,250000,0.39,0.39,0.05,0.41,0.07,0.00,0.05,0.04,Public,,1.00
Cypress Bay High School,Weston,Florida,Broward,Miami,26.0656083,-80.396657,64,17,0.27,6,0.35,4797,1139,23.8,32,No,71166,100110,0.15,0.29,0.04,0.59,0.06,0.00,0.00,0.02,Public,,1.00
Forest Hills Northern Hs,Grand Rapids,Michigan,Kent,Grand Rapids,42.9857394,-85.575579,63,22,0.35,17,0.77,1165,1270,29,28,No,201013,47173,0.15,0.74,0.06,0.05,0.10,0.00,0.00,0.05,Public,,1.00
Clarkston Senior High School,Clarkston,Michigan,Oakland,Detroit,42.739245,-83.39314,63,26,0.41,14,0.54,2946,1200,27,18,Yes,1825,40472,0.17,0.86,0.03,0.06,0.02,0.00,0.00,0.02,Public,,1.00
Herbert Henry Dow High School,Midland,Michigan,Midland,Midland,43.6382593,-84.275932,63,26,0.41,14,0.54,1271,1164,30,7,Yes,41701,61076,0.20,0.85,0.01,0.04,0.07,0.00,0.00,0.02,Public,,1.00
Palos Verdes Peninsula Hs,Rolling Hills Estates,California,Los Angeles,Los Angeles,33.7908969,-118.36454,63,14,0.22,2,0.14,2329,1300,27.8,33,No,8058,143873,0.09,0.38,0.03,0.11,0.40,0.00,0.00,0.08,Public,Stats for Class of 2020,1.00
Rockford Senior High School,Rockford,Michigan,Kent,Grand Rapids,43.091706,-85.566111,62,24,0.39,16,0.67,1835,1098,27,14,No,6391,62404,0.14,0.87,0.00,0.05,0.03,0.00,0.00,0.04,Public,,1.00
University Detroit Jesuit Hs,Detroit,Michigan,Wayne,Detroit,42.433124,-83.154338,62,17,0.27,11,0.65,900,1260,28,11,No,,,,,,,,,,,Private Religious,,0.00
West Windsor-Plainsboro Hs N,Plainsboro,New Jersey,Middlesex,New York,40.3224396,-74.600273,62,4,0.06,0,0.00,1463,1339,30,23,No,22884,107936,0.07,0.22,0.08,0.04,0.65,0.00,0.00,0.01,Public,,1.00
Adlai E Stevenson High School,Livonia,Michigan,Wayne,Detroit,42.4131829,-83.382819,61,19,0.31,15,0.79,1790,1360,27,29,No,93665,76819,0.18,0.84,0.03,0.05,0.04,0.00,0.00,0.03,Public,,1.00
Portage Northern High School,Portage,Michigan,Kalamazoo,Kalamazoo,42.2359688,-85.599322,61,25,0.41,19,0.76,1290,1078,28,7,Yes,49445,62747,0.25,0.70,0.07,0.07,0.07,0.00,0.00,0.09,Public,,1.00
East Lansing High School,East Lansing,Michigan,Ingham,Lansing,42.7428371,-84.479326,61,21,0.34,13,0.62,1102,1230,28,19,No,48145,38502,0.30,0.58,0.20,0.07,0.08,0.00,0.00,0.07,Public,,1.00
Northwood High School,Irvine,California,Orange,Los Angeles,33.7324238,-117.7511,61,13,0.21,3,0.23,2195,1380,31,36,No,287401,100969,0.16,0.26,0.02,0.08,0.58,0.00,0.00,0.05,Public,,1.00
Maine Township Hs South,Park Ridge,Illinois,Cook,Chicago,42.001346,-87.853017,60,15,0.25,6,0.40,2390,1290,25,20,No,36950,102416,0.06,0.85,0.01,0.08,0.03,0.00,0.00,0.02,Public,,1.00
Mountain View High School,Mountain View,California,Santa Clara,San Jose,37.3586027,-122.06715,60,18,0.30,5,0.28,2062,1285,27.7,23,No,82739,128252,0.15,0.40,0.02,0.23,0.24,0.00,0.00,0.11,Public,,1.00
Phillips Academy,Andover,Massachusetts,Essex,Boston,42.6471435,-71.132291,60,19,0.32,3,0.16,1131,1470,33,0,No,,,,,,,,,,,Private Boarding,,0.00
Dearborn High School,Dearborn,Michigan,Wayne,Detroit,42.3073947,-83.261528,59,23,0.39,16,0.70,2115,1191,25,14,No,93932,52498,0.59,0.94,0.03,0.02,0.01,0.00,0.00,0.00,Public,,1.00
Naperville Central High School,Naperville,Illinois,DuPage,Chicago,41.7676876,-88.155196,59,11,0.19,7,0.64,2719,1186,27,30,No,148449,118187,0.13,0.67,0.04,0.08,0.16,0.00,0.00,0.04,Public,,1.00
Walled Lake Northern Hs,Commerce Townshp,Michigan,Oakland,Detroit,42.60985,-83.498649,58,25,0.43,22,0.88,1590,1085,27,19,No,44065,95810,0.26,0.77,0.11,0.04,0.06,0.00,0.00,0.02,Public,,1.00
Grandville High School,Grandville,Michigan,Kent,Grand Rapids,42.8794666,-85.770002,58,27,0.47,20,0.74,1768,1061,27,14,No,15858,58675,0.17,0.75,0.05,0.11,0.04,0.00,0.00,0.06,Public,,1.00
West Ottawa High School,Holland,Michigan,Ottawa,Grand Rapids,42.835,-86.150348,58,20,0.34,14,0.70,2253,1013,,20,Yes,33216,55769,0.48,0.45,0.03,0.39,0.08,0.00,0.00,0.05,Public,,1.00
Fordson High School,Dearborn,Michigan,Wayne,Detroit,42.3320686,-83.178722,58,21,0.36,14,0.67,2756,1160,25,16,No,47611,109081,0.82,0.98,0.01,0.01,0.00,0.00,0.00,0.00,Public,,1.00
Loyola Academy,Wilmette,Illinois,Cook,Chicago,42.0829241,-87.760067,58,12,0.21,3,0.25,2000,1274,27.3,21,No,,,,,,,,,,,Private Religious,Stats for Class of 2020,0.00
York Community High School,Elmhurst,Illinois,DuPage,Chicago,41.8910333,-87.951973,58,8,0.14,2,0.25,2829,1290,26,24,No,46746,113207,0.16,0.72,0.03,0.16,0.06,0.00,0.00,0.03,Public,,1.00
Phillips Exeter Academy,Exeter,New Hampshire,Rockingham,Boston,42.9782108,-70.941399,58,12,0.21,2,0.17,1081,1440,33,0,No,,,,0.58,0.11,0.08,0.21,0.01,0.00,0.01,Private Boarding,,1.00
Tenafly High School,Tenafly,New Jersey,Bergen,New York,40.9328765,-73.966249,58,6,0.10,2,0.33,1226,1350,29,29,No,14453,159722,0.03,0.60,0.02,0.06,0.31,0.00,0.00,0.02,Public,,1.00
Menlo School,Atherton,California,San Mateo,San Francisco,37.4531768,-122.19167,58,9,0.16,1,0.11,794,1447,33,20,No,,,,,,,,,,,Private Secular,,0.00
University High Sch Academy,Lathrup Village,Michigan,Oakland,Detroit,42.502027,-83.235552,57,32,0.56,29,0.91,404,1075,,17,No,72689,51267.75,0.31,0.02,0.96,0.00,0.01,0.00,0.01,0.00,Public Magnet,,1.00
Mercy High School,Farmington Hills,Michigan,Oakland,Detroit,42.487067,-83.336428,57,25,0.44,19,0.76,672,1109,25.6,13,No,,,,0.78,0.10,0.04,0.04,0.00,0.00,0.03,Private Religious,,1.00
Renaissance High School,Detroit,Michigan,Wayne,Detroit,42.417807,-83.194381,57,21,0.37,14,0.67,1202,,,6,No,670031,29481,0.61,0.00,0.99,0.00,0.00,0.00,0.00,0.00,Public Magnet,,1.00
East Brunswick High School,East Brunswick,New Jersey,Middlesex,New York,40.432572,-74.398565,57,7,0.12,1,0.14,2095,1225,23,22,No,47611,109081,0.18,0.53,0.05,0.07,0.34,0.00,0.00,0.01,Public,,1.00
University High School,Irvine,California,Orange,Los Angeles,33.6527931,-117.82357,57,9,0.16,0,0.00,2312,1326,27,21,No,287401,100969,0.21,0.34,0.02,0.09,0.48,0.00,0.00,0.06,Public,,1.00
Berkley High School,Berkley,Michigan,Oakland,Detroit,42.4954658,-83.181164,56,23,0.41,16,0.70,1420,1090,,26,No,15366,82095,0.19,0.77,0.16,0.03,0.02,0.00,0.00,0.02,Public,,1.00
Univ Of Chicago Laboratory Hs,Chicago,Illinois,Cook,Chicago,41.7879234,-87.59275,56,24,0.43,9,0.38,1855,1460,31.8,10,Yes,,,,0.51,0.09,0.06,0.19,0.00,0.00,0.14,Private Secular,Enrollment for Grades K-12,1.00
Wellesley High School,Wellesley,Massachusetts,Norfolk,Boston,42.302908,-71.278821,56,8,0.14,5,0.63,1529,1326,28.4,16,No,,,,0.74,0.04,0.05,0.12,0.00,0.00,0.05,Public,,1.00
Edina High School,Edina,Minnesota,Hennepin,Minneapolis-St.Paul,44.8827391,-93.376984,56,16,0.29,5,0.31,2718,1360,29,23,No,52857,99295,0.08,0.75,0.07,0.05,0.09,0.00,0.00,0.04,Public,,1.00
Manhasset High School,Manhasset,New York,Nassau,New York,40.7928905,-73.704506,56,19,0.34,4,0.21,1091,1350,30,23,No,8138,133456,0.04,0.71,0.02,0.04,0.21,0.00,0.00,0.01,Public,,1.00
Muchin College Prep,Chicago,Illinois,Cook,Chicago,41.8822307,-87.627063,55,23,0.42,11,0.48,973,1110,22,9,Yes,2718555,79957,0.85,0.00,0.29,0.66,0.04,0.00,0.00,0.01,Public Charter,,1.00
Dakota High School,Macomb,Michigan,Macomb,Detroit,42.6453878,-82.909625,55,19,0.35,10,0.53,2980,1056,26,14,No,91574,98465,0.18,0.82,0.07,0.04,0.03,0.00,0.00,0.03,Public,,1.00
Benet Academy,Lisle,Illinois,DuPage,Chicago,41.7843438,-88.094617,55,12,0.22,4,0.33,1300,1380,30,12,No,,,,,,,,,,,Private Religious,,0.00
Traverse City West Senior Hs,Traverse City,Michigan,Grand Traverse,Traverse City,44.7498475,-85.687598,54,19,0.35,14,0.74,1707,1063,,17,No,15738,53871,0.29,0.92,0.01,0.03,0.02,0.01,0.00,0.02,Public,,1.00
Byram Hills High School,Armonk,New York,Westchester,New York,41.134854,-73.689789,54,26,0.48,13,0.50,790,1320,31,33,No,4330,195982,0.04,0.90,0.01,0.05,0.05,0.00,0.00,0.00,Public,,1.00
William Mason High School,Mason,Ohio,Warren,Cincinnati,39.3507098,-84.306243,54,8,0.15,3,0.38,3511,1339,25.5,27,No,33870,96511,0.07,0.66,0.04,0.04,0.21,0.00,0.00,0.05,Public,,1.00
Portage Central High School,Portage,Michigan,Kalamazoo,Kalamazoo,42.1982688,-85.587144,53,19,0.36,11,0.58,1363,1102.8,,0,Yes,49445,62747,0.15,0.81,0.02,0.06,0.06,0.00,0.00,0.05,Public,,1.00
American Heritage School,Plantation,Florida,Broward,Miami,26.1194711,-80.308013,53,22,0.42,6,0.27,2409,1370,31,0,No,,,,0.48,0.10,0.23,0.10,0.04,0.00,0.05,Private Secular,,1.00
Cherry Creek High School,Greenwood Village,Colorado,Arapahoe,Denver,39.6303721,-104.87934,53,6,0.11,4,0.67,3720,1358,26,29,No,15735,127134,0.13,0.66,0.03,0.13,0.13,0.00,0.00,0.05,Public,,1.00
Lake Forest High School,Lake Forest,Illinois,Lake,Chicago,42.2640029,-87.840173,53,8,0.15,3,0.38,1585,1197,27.1,30,No,,,0.01,0.85,0.01,0.06,0.04,0.00,0.00,0.03,Public,,1.00
Bridgewater-Raritan Rgnl Hs,Bridgewater,New Jersey,Somerset,New York,40.593784,-74.631952,53,7,0.13,3,0.43,2827,1193,29,27,No,43968,126743,0.11,0.53,0.03,0.17,0.25,0.00,0.01,0.01,Public,,1.00
