School,City,State,County,Metro Area,Latitude,Longitude,Applications,Admitted,Acceptance Rate,Enrolled at UM,Yield,Enrollment,Mean SAT,Mean ACT,# of APs,IB Offered?,Population,Median Income,% Qualify for Reduced or Free Lunch,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,%Other/Multirace,Type,Notes,Check
Summit High School,Summit,New Jersey,Union,New York,40.720826,-74.370995,40,7,0.18,2,0.29,1169,1217,28.1,26,No,21897,146755,0.14,0.64,0.04,0.18,0.08,0.00,0.00,0.06,Public,,1.00
Beverly Hills High School,Beverly Hills,California,Los Angeles,Los Angeles,34.0612109,-118.41108,40,11,0.28,2,0.18,1384,1271,27.2,18,No,33792,103403,0.17,0.71,0.03,0.10,0.12,0.00,0.00,0.03,Public,,1.00
Lincoln Park High School,Chicago,Illinois,Cook,Chicago,41.9189075,-87.645813,40,6,0.15,1,0.17,2104,1180,26,23,Yes,23385,108207,0.47,0.29,0.21,0.33,0.12,0.00,0.00,0.04,Public,,1.00
American High School,Fremont,California,Alameda,San Francisco,37.565347,-122.01648,40,3,0.08,0,0.00,2448,1370,31,16,No,233083,127374,0.20,0.13,0.03,0.08,0.71,0.00,0.00,0.04,Public,,1.00
Oakton High School,Vienna,Virginia,Fairfax,"Washington, D.C.",38.8787187,-77.282046,40,4,0.10,0,0.00,2749,1222,27.2,25,No,15687,155490,0.12,0.47,0.05,0.11,0.31,0.00,0.00,0.05,Public,,1.00
Spring Lake High School,Spring Lake,Michigan,Ottawa,Grand Rapids,38.7028981,-75.086655,39,14,0.36,9,0.64,871,1200,26,36,Yes,15008,63941,0.15,0.92,0.01,0.03,0.02,0.00,0.00,0.02,Public,,1.00
Deerfield Academy,Deerfield,Massachusetts,Franklin,Springfield,42.5462615,-72.606707,39,11,0.28,4,0.36,650,1371,30,8,No,,,,,,,,,,,Private Secular,,0.00
Tamalpais High School,Mill Valley,California,Marin,San Francisco,37.8906124,-122.52773,39,8,0.21,3,0.38,1591,1270,30,17,No,14343,158839,0.10,0.69,0.03,0.10,0.08,0.00,0.01,0.08,Public,,1.00
Foothill High School,Pleasanton,California,Alameda,San Francisco,37.672703,-121.91986,39,6,0.15,2,0.33,2178,1330,30,26,No,81777,148852,0.10,0.39,0.02,0.10,0.42,0.00,0.00,0.05,Public,,1.00
Marlboro High School,Marlboro,New Jersey,Monmouth,New York,40.3290603,-74.246348,39,4,0.10,2,0.50,1822,1208,26.4,21,No,39640,147594,0.04,0.72,0.02,0.06,0.18,0.00,0.00,0.02,Public,,1.00
Arcadia High School,Arcadia,California,Los Angeles,Los Angeles,34.1296343,-118.03637,39,6,0.15,1,0.17,3161,1304,29,19,No,57939,92102,0.26,0.13,0.02,0.14,0.69,0.00,0.00,0.01,Public,,1.00
Prospect High School,Mt Prospect,Illinois,Cook,Chicago,42.0791941,-87.950347,39,8,0.21,1,0.13,2122,1174,25,25,No,53719,73652,0.07,0.75,0.01,0.13,0.07,0.00,0.00,0.03,Public,,1.00
Sage Hill School,Newport Coast,California,Orange,Los Angeles,33.6149441,-117.82599,39,12,0.31,1,0.08,520,1370,31,0,No,,,,0.51,0.03,0.10,0.34,0.01,0.00,0.02,Private Secular,,1.00
South Lyon High School,South Lyon,Michigan,Oakland,Detroit,42.47346,-83.650562,38,15,0.39,10,0.67,1290,1240,27,14,No,11821,67327,0.13,0.89,0.01,0.04,0.03,0.00,0.00,0.02,Public,,1.00
New Canaan High School,New Canaan,Connecticut,Fairfield,New York,41.1285846,-73.489421,38,9,0.24,7,0.78,1284,1300,30,27, No,20273,192428,0.00,0.85,0.02,0.04,0.06,0.00,0.00,0.02,Public,,1.00
Adlai E Stevenson,Sterling Heights,Michigan,Macomb,Detroit,42.5865584,-83.013528,38,12,0.32,7,0.58,1969,1066,,24,No,,,0.45,0.84,0.06,0.02,0.06,0.00,0.00,0.02,Public,,1.00
Montgomery Blair High School,Silver Spring,Maryland,Montgomery,"Washington, D.C.",39.0182971,-77.011472,38,11,0.29,3,0.27,3196,1280,30,27,No,8566,125000,0.33,0.24,0.24,0.34,0.14,0.00,0.00,0.04,Public,,1.00
Plano West Senior High School,Plano,Texas,Collin,Dallas,33.0467549,-96.814099,38,6,0.16,3,0.50,2741,1310,29,25,No,284579,92121,0.17,0.42,0.12,0.16,0.27,0.00,0.00,0.03,Public,,1.00
Northview High School,Johns Creek,Georgia,Fulton,Atlanta,34.0391198,-84.177628,38,6,0.16,1,0.17,1778,1360,31,23,No,83637,116070,0.06,0.25,0.13,0.05,0.53,0.00,0.00,0.03,Public,,1.00
Newark Academy,Livingston,New Jersey,Essex,New York,40.7778518,-74.359663,38,6,0.16,1,0.17,438,1410,32,4,Yes,,,,,,,,,,,Private Secular,,0.00
Noble Street College Prep,Chicago,Illinois,Cook,Chicago,41.9000736,-87.662873,37,18,0.49,9,0.50,615,1090,23,6,No,2693976,55198,0.89,0.01,0.20,0.78,0.00,0.00,0.00,0.01,Public,,1.00
